Gurus,Symbol,Date,Action,Comment,Shares,Price
gurus\Arnold+Schneider,VECO,2017-12-31,Add,Add 17.24%,572286,18.55
gurus\David+Einhorn,TWTR,2017-12-31, Buy ,New holding,2785000,33.78
gurus\David+Tepper,MU,2017-12-31,Add,Add 61.25%,27500000,43.27
gurus\David+Tepper,FB,2017-12-31,Add,Add 67.56%,5529441,179.43
gurus\David+Tepper,BABA,2017-12-31,Add,Add 21.27%,4320234,187.84
gurus\David+Tepper,AAPL,2017-12-31,Add,Add 237.09%,4587852,172.46
gurus\George+Soros,UCTT,2017-12-31, Buy ,New holding,107800,18.97
gurus\George+Soros,TWTR,2017-12-31,Add,Add 85.33%,34100,33.78
gurus\George+Soros,SNAP,2017-12-31, Buy ,New holding,141800,20.29
gurus\George+Soros,SEDG,2017-12-31,Add,Add 45.23%,1009793,44.75
gurus\George+Soros,SABR,2017-12-31, Buy ,New holding,16800,22.43
gurus\George+Soros,RNG,2017-12-31,Add,Add 42.86%,250000,60.1
gurus\George+Soros,QCOM,2017-12-31, Buy ,New holding,154800,64.42
gurus\George+Soros,NXPI,2017-12-31,Add,Add 45.76%,522840,116.74
gurus\George+Soros,MXIM,2017-12-31, Buy ,New holding,13500,60.76
gurus\George+Soros,MSI,2017-12-31, Buy ,New holding,7500,105.16
gurus\George+Soros,MRVL,2017-12-31, Buy ,New holding,300000,22.61
gurus\George+Soros,LRCX,2017-12-31,Add,Add 141.99%,269632,183.35
gurus\George+Soros,LDOS,2017-12-31, Buy ,New holding,5700,65.57
gurus\George+Soros,INXN,2017-12-31,Add,Add 1.25%,405000,58.8
gurus\George+Soros,INFO,2017-12-31, Buy ,New holding,7700,46.36
gurus\George+Soros,HPQ,2017-12-31, Buy ,New holding,16500,21.3
gurus\George+Soros,GOOGL,2017-12-31,Add,Add 53.33%,4600,1084.69
gurus\George+Soros,FTNT,2017-12-31, Buy ,New holding,20500,49.44
gurus\George+Soros,DVMT,2017-12-31,Add,Add 115.44%,58600,69.48
gurus\George+Soros,CAVM,2017-12-31, Buy ,New holding,33400,86.95
gurus\George+Soros,ANSS,2017-12-31, Buy ,New holding,6200,161.48
gurus\George+Soros,AMD,2017-12-31, Buy ,New holding,26300,12.27
gurus\Joel+Greenblatt,ZNGA,2017-12-31, Buy ,New holding,148411,3.53
gurus\Joel+Greenblatt,WEB,2017-12-31,Add,Add 10.93%,276959,17.5
gurus\Joel+Greenblatt,WDC,2017-12-31,Add,Add 32.49%,608280,84.05
gurus\Joel+Greenblatt,WBT,2017-12-31, Buy ,New holding,59077,21.52
gurus\Joel+Greenblatt,VRTU,2017-12-31, Buy ,New holding,7653,49.55
gurus\Joel+Greenblatt,UBNT,2017-12-31, Buy ,New holding,27728,73.83
gurus\Joel+Greenblatt,TYL,2017-12-31, Buy ,New holding,4852,203.82
gurus\Joel+Greenblatt,TGH,2017-12-31,Add,Add 101.39%,169987,19.13
gurus\Joel+Greenblatt,SYMC,2017-12-31,Add,Add 1126.01%,588887,27.55
gurus\Joel+Greenblatt,SYKE,2017-12-31, Buy ,New holding,14705,29.68
gurus\Joel+Greenblatt,SWKS,2017-12-31,Add,Add 38.22%,395211,103.55
gurus\Joel+Greenblatt,SSNC,2017-12-31,Add,Add 16.77%,298435,50.18
gurus\Joel+Greenblatt,SLAB,2017-12-31, Buy ,New holding,5917,92.45
gurus\Joel+Greenblatt,RHT,2017-12-31,Add,Add 95.17%,83979,139.82
gurus\Joel+Greenblatt,QSII,2017-12-31,Add,Add 0.87%,152485,12.81
gurus\Joel+Greenblatt,PTC,2017-12-31, Buy ,New holding,17564,72.87
gurus\Joel+Greenblatt,PSDO,2017-12-31, Buy ,New holding,12567,15.06
gurus\Joel+Greenblatt,PRGS,2017-12-31,Add,Add 1.36%,196721,47.96
gurus\Joel+Greenblatt,OTEX,2017-12-31,Add,Add 70.41%,124718,35.3
gurus\Joel+Greenblatt,NVDA,2017-12-31, Buy ,New holding,1765,247.43
gurus\Joel+Greenblatt,NTNX,2017-12-31, Buy ,New holding,23409,34.54
gurus\Joel+Greenblatt,NATI,2017-12-31, Buy ,New holding,82635,48.99
gurus\Joel+Greenblatt,MU,2017-12-31,Add,Add 10.94%,1639484,43.27
gurus\Joel+Greenblatt,MRVL,2017-12-31,Add,Add 30.41%,473847,22.61
gurus\Joel+Greenblatt,MITL,2017-12-31,Add,Add 544.21%,283557,8.79
gurus\Joel+Greenblatt,MDSO,2017-12-31, Buy ,New holding,6806,66.0
gurus\Joel+Greenblatt,MDRX,2017-12-31,Add,Add 58.96%,57019,14.85
gurus\Joel+Greenblatt,MDCA,2017-12-31, Buy ,New holding,34010,9.53
gurus\Joel+Greenblatt,MB,2017-12-31, Buy ,New holding,8324,33.45
gurus\Joel+Greenblatt,MAN,2017-12-31,Add,Add 1419.81%,46415,122.91
gurus\Joel+Greenblatt,LRCX,2017-12-31,Add,Add 40.97%,329605,183.35
gurus\Joel+Greenblatt,LORL,2017-12-31, Buy ,New holding,6255,45.05
gurus\Joel+Greenblatt,LLL,2017-12-31,Add,Add 3337.99%,119539,211.65
gurus\Joel+Greenblatt,LDOS,2017-12-31,Add,Add 593.70%,143603,65.57
gurus\Joel+Greenblatt,JBL,2017-12-31,Add,Add 34.63%,248481,26.36
gurus\Joel+Greenblatt,IPGP,2017-12-31,Add,Add 559.44%,47968,255.48
gurus\Joel+Greenblatt,IPG,2017-12-31,Add,Add 310.98%,958874,24.92
