Gurus,Symbol,Date,Action,Comment,Shares,Price
George+Soros,NVDA,2017-06-30, Sold Out ,Sold Out,0,165.15
George+Soros,NPTN,2017-06-30, Sold Out ,Sold Out,0,5.8
George+Soros,MXL,2017-06-30, Sold Out ,Sold Out,0,21.78
George+Soros,MXIM,2017-06-30, Sold Out ,Sold Out,0,45.69
George+Soros,MLNX,2017-06-30, Sold Out ,Sold Out,0,44.4
George+Soros,INVN,2017-06-30, Sold Out ,Sold Out,0,12.99
George+Soros,DSPG,2017-06-30,Reduce,Reduce -78.00%,36666,11.8
George+Soros,CRUS,2017-06-30, Sold Out ,Sold Out,0,56.07
Joel+Greenblatt,XLNX,2017-06-30,Reduce,Reduce -86.09%,39931,61.32
Joel+Greenblatt,TXN,2017-06-30,Reduce,Reduce -23.83%,364192,80.15
Joel+Greenblatt,SWKS,2017-06-30,Reduce,Reduce -5.93%,352294,102.21
Joel+Greenblatt,NVDA,2017-06-30, Sold Out ,Sold Out,0,161.47
Joel+Greenblatt,MXL,2017-06-30,Reduce,Reduce -24.89%,154580,20.87
Joel+Greenblatt,MCHP,2017-06-30,Reduce,Reduce -3.01%,126747,81.65
Joel+Greenblatt,INTC,2017-06-30,Reduce,Reduce -11.43%,1542135,35.17
Joel+Greenblatt,EXAR,2017-06-30, Sold Out ,Sold Out,0,12.99
Joel+Greenblatt,CCMP,2017-06-30,Reduce,Reduce -1.55%,46316,68.24
Joel+Greenblatt,AMKR,2017-06-30,Reduce,Reduce -32.95%,674787,8.38
Joel+Greenblatt,AMD,2017-06-30, Sold Out ,Sold Out,0,12.34
Joel+Greenblatt,ADI,2017-06-30,Reduce,Reduce -98.19%,8435,77.56
Joel+Greenblatt,AAOI,2017-06-30,Reduce,Reduce -50.94%,30639,64.51
