Gurus,Symbol,Date,Action,Comment,Shares,Price
George+Soros,ATVI,2017-09-30,Add,Add 123.06%,118000,64.1
George+Soros,ATHM,2017-09-30, Buy ,New holding,105620,61.0
George+Soros,AMZN,2017-09-30,Add,Add 33.33%,10000,1129.88
George+Soros,ALLT,2017-09-30,Add,Add 2.61%,5341063,5.4
George+Soros,AIRG,2017-09-30,Add,Add 38.26%,289105,9.4
George+Soros,ADSK,2017-09-30, Buy ,New holding,2800,127.49
George+Soros,ADP,2017-09-30, Buy ,New holding,2400,111.06
George+Soros,ADI,2017-09-30, Buy ,New holding,2900,90.42
George+Soros,ADBE,2017-09-30,Add,Add 118.75%,3500,182.24
Joel+Greenblatt,ZBRA,2017-09-30,Add,Add 57.18%,161520,108.76
Joel+Greenblatt,XLNX,2017-09-30,Add,Add 539.41%,255324,71.81
Joel+Greenblatt,WEB,2017-09-30,Add,Add 57.70%,249662,22.8
Joel+Greenblatt,WDC,2017-09-30,Add,Add 14.01%,459119,91.3
Joel+Greenblatt,VRSN,2017-09-30,Add,Add 4.30%,105522,113.75
Joel+Greenblatt,VRSK,2017-09-30,Add,Add 4385.97%,121211,91.86
Joel+Greenblatt,VIAV,2017-09-30, Buy ,New holding,448143,8.79
Joel+Greenblatt,VEEV,2017-09-30,Add,Add 319.64%,181483,61.13
Joel+Greenblatt,TGH,2017-09-30, Buy ,New holding,84405,22.55
Joel+Greenblatt,TCX,2017-09-30, Buy ,New holding,5054,60.8
Joel+Greenblatt,SYNA,2017-09-30,Add,Add 389.86%,52538,38.21
Joel+Greenblatt,SYMC,2017-09-30, Buy ,New holding,48033,28.04
Joel+Greenblatt,SSNI,2017-09-30, Buy ,New holding,11489,16.17
Joel+Greenblatt,SSNC,2017-09-30,Add,Add 1.74%,255572,39.94
Joel+Greenblatt,SPSC,2017-09-30,Add,Add 55.59%,9054,46.63
Joel+Greenblatt,SHOP,2017-09-30, Buy ,New holding,6111,104.89
Joel+Greenblatt,SATS,2017-09-30,Add,Add 44.24%,125578,59.87
Joel+Greenblatt,SABR,2017-09-30, Buy ,New holding,161920,19.5
Joel+Greenblatt,RP,2017-09-30, Buy ,New holding,8451,44.05
Joel+Greenblatt,RHT,2017-09-30, Buy ,New holding,43029,125.95
Joel+Greenblatt,QSII,2017-09-30,Add,Add 32.28%,151168,13.66
Joel+Greenblatt,QLYS,2017-09-30,Add,Add 47.97%,32373,58.65
Joel+Greenblatt,QCOM,2017-09-30,Add,Add 69.75%,491725,66.72
Joel+Greenblatt,PNR,2017-09-30, Buy ,New holding,487491,68.44
Joel+Greenblatt,PLUS,2017-09-30,Add,Add 42.97%,16173,79.45
Joel+Greenblatt,PEGA,2017-09-30, Buy ,New holding,41050,51.65
Joel+Greenblatt,OSIS,2017-09-30,Add,Add 10.32%,57560,90.41
Joel+Greenblatt,ORCL,2017-09-30,Add,Add 97.94%,967932,48.94
Joel+Greenblatt,ON,2017-09-30,Add,Add 3468.14%,1354143,21.44
Joel+Greenblatt,OMC,2017-09-30,Add,Add 61.58%,448180,69.44
Joel+Greenblatt,NUAN,2017-09-30,Add,Add 2.16%,286321,14.44
Joel+Greenblatt,NSP,2017-09-30,Add,Add 11.11%,13007,114.45
Joel+Greenblatt,MXIM,2017-09-30,Add,Add 7.64%,179260,53.51
Joel+Greenblatt,MU,2017-09-30, Buy ,New holding,1477788,46.16
Joel+Greenblatt,MSTR,2017-09-30,Add,Add 10.25%,47742,133.76
Joel+Greenblatt,MSCC,2017-09-30, Buy ,New holding,17970,53.02
Joel+Greenblatt,MDRX,2017-09-30, Buy ,New holding,35871,13.26
Joel+Greenblatt,MCHP,2017-09-30,Add,Add 37.46%,174226,91.3
Joel+Greenblatt,MANH,2017-09-30,Add,Add 20.36%,232406,42.42
Joel+Greenblatt,LRCX,2017-09-30,Add,Add 5.01%,233818,210.47
Joel+Greenblatt,LDOS,2017-09-30, Buy ,New holding,20701,61.09
Joel+Greenblatt,KELYA,2017-09-30,Add,Add 0.93%,42557,28.73
Joel+Greenblatt,KAI,2017-09-30, Buy ,New holding,10372,102.4
Joel+Greenblatt,JKHY,2017-09-30, Buy ,New holding,38396,112.08
Joel+Greenblatt,JCOM,2017-09-30,Add,Add 0.35%,177194,73.8
Joel+Greenblatt,JBL,2017-09-30,Add,Add 210.54%,184566,29.22
Joel+Greenblatt,ITW,2017-09-30,Add,Add 110.82%,83729,157.14
Joel+Greenblatt,IPGP,2017-09-30, Buy ,New holding,7274,237.23
Joel+Greenblatt,HDP,2017-09-30,Add,Add 35.45%,17835,19.47
Joel+Greenblatt,GWRE,2017-09-30, Buy ,New holding,51527,81.49
Joel+Greenblatt,GOOGL,2017-09-30,Add,Add 29.23%,37345,1035.89
Joel+Greenblatt,FORM,2017-09-30,Add,Add 428.13%,59763,16.65
Joel+Greenblatt,FLOW,2017-09-30,Add,Add 63.66%,76464,42.03
Joel+Greenblatt,FISV,2017-09-30,Add,Add 1305.31%,42848,128.39
Joel+Greenblatt,FFIV,2017-09-30,Add,Add 42.84%,189016,123.58
Joel+Greenblatt,EXTR,2017-09-30,Add,Add 543.66%,411970,12.81
Joel+Greenblatt,EXTN,2017-09-30,Add,Add 28.47%,198340,30.0
Joel+Greenblatt,EA,2017-09-30,Add,Add 130.61%,407382,108.82
Joel+Greenblatt,DOX,2017-09-30,Add,Add 165.23%,63069,63.53
Joel+Greenblatt,CVG,2017-09-30,Add,Add 30.32%,219927,24.0
Joel+Greenblatt,CTSH,2017-09-30,Add,Add 6.50%,6992,72.91
Joel+Greenblatt,CLS,2017-09-30,Add,Add 176.78%,83031,10.74
Joel+Greenblatt,CLGX,2017-09-30, Buy ,New holding,7203,44.66
Joel+Greenblatt,CERN,2017-09-30,Add,Add 272.49%,190322,65.4
Joel+Greenblatt,CDNS,2017-09-30,Add,Add 134.25%,82113,44.58
Joel+Greenblatt,CA,2017-09-30,Add,Add 15.80%,603716,32.51
Joel+Greenblatt,BLKB,2017-09-30, Buy ,New holding,3956,102.04
Joel+Greenblatt,BCOR,2017-09-30,Add,Add 44.26%,382248,19.95
Joel+Greenblatt,AUO,2017-09-30, Buy ,New holding,38247,4.24
Joel+Greenblatt,ATVI,2017-09-30, Buy ,New holding,28146,64.1
Joel+Greenblatt,ARRS,2017-09-30, Buy ,New holding,158653,28.67
Joel+Greenblatt,APPF,2017-09-30, Buy ,New holding,26132,43.65
Joel+Greenblatt,ANSS,2017-09-30,Add,Add 59.38%,111575,150.57
Joel+Greenblatt,AMAT,2017-09-30,Add,Add 4.54%,1246329,56.49
Joel+Greenblatt,ADI,2017-09-30,Add,Add 1092.47%,100585,90.42
Joel+Greenblatt,ADBE,2017-09-30,Add,Add 5.33%,80408,182.24
Joel+Greenblatt,ACLS,2017-09-30, Buy ,New holding,148714,34.3
Joel+Greenblatt,AAOI,2017-09-30,Add,Add 40.21%,42960,45.04
Mohnish+Pabrai,AER,2017-09-30,Add,Add 4.72%,1047160,50.48
Prem+Watsa,TSM,2017-09-30, Buy ,New holding,29000,42.07
Prem+Watsa,SSYS,2017-09-30, Buy ,New holding,81000,20.98
Prem+Watsa,KLIC,2017-09-30, Buy ,New holding,96000,26.8
Prem+Watsa,CRAY,2017-09-30, Buy ,New holding,250000,20.75
Warren+Buffett,AAPL,2017-09-30,Add,Add 3.00%,134092782,170.15
