Gurus,Symbol,Date,Action,Comment,Shares,Price
Arnold+Schneider,VECO,2017-09-30,Add,Add 179.85%,488137,16.65
Arnold+Schneider,IVAC,2017-09-30,Add,Add 23.08%,361686,7.6
Bill+Ackman,ADP,2017-09-30,Add,Add 402.52%,8798442,111.06
David+Einhorn,TECD,2017-09-30, Buy ,New holding,90000,90.88
David+Einhorn,MU,2017-09-30,Add,Add 89.51%,5021900,46.16
David+Einhorn,HPE,2017-09-30,Add,Add 75.39%,7805000,13.68
David+Tepper,WDC,2017-09-30,Add,Add 0.20%,2575138,91.3
David+Tepper,MU,2017-09-30,Add,Add 32.20%,17053999,46.16
David+Tepper,FB,2017-09-30,Add,Add 40.05%,3300000,179.0
David+Tepper,AMAT,2017-09-30, Buy ,New holding,250000,56.49
David+Tepper,AAPL,2017-09-30,Add,Add 117.76%,1361000,170.15
George+Soros,WBT,2017-09-30, Buy ,New holding,33200,21.61
George+Soros,VRSN,2017-09-30, Buy ,New holding,2600,113.75
George+Soros,VMW,2017-09-30, Buy ,New holding,2500,123.26
George+Soros,VIAV,2017-09-30,Add,Add 39.81%,5126361,8.79
George+Soros,URI,2017-09-30, Buy ,New holding,5800,150.09
George+Soros,ULTI,2017-09-30, Buy ,New holding,1800,197.72
George+Soros,TTWO,2017-09-30,Add,Add 54.47%,326400,117.82
George+Soros,SYNA,2017-09-30, Buy ,New holding,479049,38.21
George+Soros,SPLK,2017-09-30, Buy ,New holding,4000,81.7
George+Soros,SIGM,2017-09-30,Add,Add 11.15%,5118789,5.95
George+Soros,SEDG,2017-09-30, Buy ,New holding,695305,37.55
George+Soros,RNG,2017-09-30, Buy ,New holding,175000,48.0
George+Soros,RHI,2017-09-30, Buy ,New holding,5400,54.9
George+Soros,PLAB,2017-09-30, Buy ,New holding,71100,8.75
George+Soros,ORCL,2017-09-30, Buy ,New holding,150000,48.94
George+Soros,NUAN,2017-09-30, Buy ,New holding,150000,14.44
George+Soros,NOW,2017-09-30,Add,Add 80.00%,90000,127.54
George+Soros,MTCH,2017-09-30, Buy ,New holding,9800,28.82
George+Soros,MSTR,2017-09-30,Add,Add 11.69%,2800,133.76
George+Soros,MSFT,2017-09-30,Add,Add 2475.00%,103000,82.4
George+Soros,MLNX,2017-09-30, Buy ,New holding,150824,50.05
George+Soros,JNPR,2017-09-30,Add,Add 53.57%,17200,26.3
George+Soros,ITW,2017-09-30, Buy ,New holding,1600,157.14
George+Soros,INXN,2017-09-30,Add,Add 11.11%,400000,57.73
George+Soros,INTU,2017-09-30, Buy ,New holding,40000,156.55
George+Soros,IMPV,2017-09-30, Buy ,New holding,126666,40.2
George+Soros,GSUM,2017-09-30, Buy ,New holding,1841679,9.28
George+Soros,GOOGL,2017-09-30, Buy ,New holding,3000,1035.89
George+Soros,FEYE,2017-09-30,Add,Add 249.78%,24366,13.76
George+Soros,EXA,2017-09-30,Add,Add 20.73%,1744776,24.24
George+Soros,DVMT,2017-09-30,Add,Add 15.25%,27200,81.49
George+Soros,DSPG,2017-09-30,Add,Add 286.37%,141666,12.55
George+Soros,CUDA,2017-09-30, Buy ,New holding,27200,22.05
George+Soros,CSOD,2017-09-30, Buy ,New holding,248166,36.95
George+Soros,BV,2017-09-30,Add,Add 22.97%,1606866,4.75
