Gurus,Symbol,Date,Action,Comment,Shares,Price
Arnold+Schneider,HSON,2017-09-30,Reduce,Reduce -0.88%,1166012,1.43
Arnold+Van+Den+Berg,IBM,2017-09-30,Reduce,Reduce -3.95%,60964,148.97
Arnold+Van+Den+Berg,CERN,2017-09-30,Reduce,Reduce -11.69%,282314,65.40
Bill+Gates,MSFT,2017-09-30,Reduce,Reduce -12.50%,56000000,82.4
David+Einhorn,AER,2017-09-30,Reduce,Reduce -0.84%,12355508,50.48
David+Einhorn,AAPL,2017-09-30,Reduce,Reduce -44.18%,2192900,170.15
David+Tepper,URI,2017-09-30,Reduce,Reduce -19.30%,931880,150.09
David+Tepper,GOOG,2017-09-30,Reduce,Reduce -2.91%,568000,1019.09
David+Tepper,BABA,2017-09-30,Reduce,Reduce -3.56%,3562500,185.13
David+Tepper,ATVI,2017-09-30, Sold Out ,Sold Out,0,64.1
George+Soros,TWTR,2017-09-30,Reduce,Reduce -23.65%,18400,20.76
George+Soros,SNAP,2017-09-30, Sold Out ,Sold Out,0,12.99
George+Soros,RPD,2017-09-30, Sold Out ,Sold Out,0,18.45
George+Soros,QTM,2017-09-30, Sold Out ,Sold Out,0,4.49
George+Soros,NEWR,2017-09-30, Sold Out ,Sold Out,0,55.68
George+Soros,NATI,2017-09-30, Sold Out ,Sold Out,0,44.43
George+Soros,MODN,2017-09-30,Reduce,Reduce -17.24%,2156666,14.55
George+Soros,LRCX,2017-09-30,Reduce,Reduce -23.42%,111425,210.47
George+Soros,HUBS,2017-09-30,Reduce,Reduce -20.00%,4000,80.1
George+Soros,HDP,2017-09-30,Reduce,Reduce -0.58%,34200,19.47
George+Soros,GUID,2017-09-30, Sold Out ,Sold Out,0,7.07
George+Soros,GRPN,2017-09-30,Reduce,Reduce -28.45%,50300,5.47
George+Soros,GLUU,2017-09-30, Sold Out ,Sold Out,0,4.1
George+Soros,FB,2017-09-30,Reduce,Reduce -77.04%,109451,179.0
George+Soros,DATA,2017-09-30, Sold Out ,Sold Out,0,70.19
George+Soros,COMM,2017-09-30, Sold Out ,Sold Out,0,33.92
George+Soros,BABA,2017-09-30,Reduce,Reduce -61.67%,73750,185.13
George+Soros,AGYS,2017-09-30,Reduce,Reduce -27.28%,96666,11.86
George+Soros,AAPL,2017-09-30, Sold Out ,Sold Out,0,170.15
Joel+Greenblatt,VRNT,2017-09-30, Sold Out ,Sold Out,0,41.85
Joel+Greenblatt,VMW,2017-09-30,Reduce,Reduce -10.12%,86114,123.26
Joel+Greenblatt,VDSI,2017-09-30,Reduce,Reduce -59.16%,32821,13.0
Joel+Greenblatt,URI,2017-09-30, Sold Out ,Sold Out,0,150.09
Joel+Greenblatt,UCTT,2017-09-30,Reduce,Reduce -39.89%,49704,24.29
Joel+Greenblatt,TXN,2017-09-30,Reduce,Reduce -25.44%,271526,97.74
Joel+Greenblatt,TTWO,2017-09-30,Reduce,Reduce -36.53%,28537,117.82
Joel+Greenblatt,TTMI,2017-09-30,Reduce,Reduce -90.98%,28253,16.71
Joel+Greenblatt,TTEC,2017-09-30,Reduce,Reduce -47.38%,10412,39.9
Joel+Greenblatt,TTD,2017-09-30,Reduce,Reduce -2.41%,223945,50.01
Joel+Greenblatt,TDC,2017-09-30, Sold Out ,Sold Out,0,35.83
Joel+Greenblatt,TBI,2017-09-30,Reduce,Reduce -84.74%,20178,28.4
Joel+Greenblatt,SWKS,2017-09-30,Reduce,Reduce -18.84%,285927,110.0
Joel+Greenblatt,STX,2017-09-30,Reduce,Reduce -14.57%,593716,39.42
Joel+Greenblatt,SQ,2017-09-30, Sold Out ,Sold Out,0,44.18
Joel+Greenblatt,SPXC,2017-09-30,Reduce,Reduce -58.37%,122662,29.98
Joel+Greenblatt,SNPS,2017-09-30,Reduce,Reduce -14.46%,199761,88.36
Joel+Greenblatt,SNCR,2017-09-30, Sold Out ,Sold Out,0,10.38
Joel+Greenblatt,SCSC,2017-09-30, Sold Out ,Sold Out,0,35.4
Joel+Greenblatt,SANM,2017-09-30,Reduce,Reduce -58.96%,41115,33.9
Joel+Greenblatt,SAIC,2017-09-30,Reduce,Reduce -91.00%,15070,68.97
Joel+Greenblatt,RXN,2017-09-30,Reduce,Reduce -10.69%,324941,23.93
Joel+Greenblatt,RHI,2017-09-30,Reduce,Reduce -8.59%,297388,54.9
Joel+Greenblatt,RATE,2017-09-30,Reduce,Reduce -48.59%,86072,14.0
Joel+Greenblatt,PRGS,2017-09-30,Reduce,Reduce -22.14%,194081,41.9
Joel+Greenblatt,PRFT,2017-09-30, Sold Out ,Sold Out,0,19.28
Joel+Greenblatt,PLXS,2017-09-30, Sold Out ,Sold Out,0,60.94
Joel+Greenblatt,PLAB,2017-09-30,Reduce,Reduce -93.46%,10466,8.75
Joel+Greenblatt,PFPT,2017-09-30, Sold Out ,Sold Out,0,90.0
Joel+Greenblatt,PCTY,2017-09-30, Sold Out ,Sold Out,0,48.35
Joel+Greenblatt,PAYC,2017-09-30, Sold Out ,Sold Out,0,81.99
Joel+Greenblatt,OTEX,2017-09-30,Reduce,Reduce -21.64%,73186,33.06
Joel+Greenblatt,OMCL,2017-09-30,Reduce,Reduce -85.98%,4705,48.25
Joel+Greenblatt,OCLR,2017-09-30, Sold Out ,Sold Out,0,6.58
Joel+Greenblatt,NTCT,2017-09-30, Sold Out ,Sold Out,0,29.93
Joel+Greenblatt,NTAP,2017-09-30,Reduce,Reduce -58.25%,387834,52.95
Joel+Greenblatt,MXL,2017-09-30, Sold Out ,Sold Out,0,26.41
Joel+Greenblatt,MSI,2017-09-30,Reduce,Reduce -59.43%,105470,90.95
Joel+Greenblatt,MSFT,2017-09-30,Reduce,Reduce -12.03%,246197,82.4
Joel+Greenblatt,MRVL,2017-09-30,Reduce,Reduce -62.60%,363343,20.29
Joel+Greenblatt,MITL,2017-09-30,Reduce,Reduce -40.27%,44016,7.67
Joel+Greenblatt,MIDD,2017-09-30, Sold Out ,Sold Out,0,113.69
Joel+Greenblatt,MAN,2017-09-30,Reduce,Reduce -93.69%,3054,126.18
Joel+Greenblatt,LLL,2017-09-30,Reduce,Reduce -96.69%,3477,184.39
Joel+Greenblatt,LECO,2017-09-30, Sold Out ,Sold Out,0,88.47
Joel+Greenblatt,KLIC,2017-09-30,Reduce,Reduce -0.01%,32439,26.8
Joel+Greenblatt,KFY,2017-09-30,Reduce,Reduce -6.59%,100869,42.82
Joel+Greenblatt,JNPR,2017-09-30,Reduce,Reduce -3.88%,1405310,26.3
Joel+Greenblatt,IPG,2017-09-30,Reduce,Reduce -55.94%,233313,19.05
Joel+Greenblatt,INTU,2017-09-30,Reduce,Reduce -29.08%,326255,156.55
Joel+Greenblatt,INTC,2017-09-30,Reduce,Reduce -39.42%,934223,44.63
Joel+Greenblatt,INFO,2017-09-30,Reduce,Reduce -79.80%,9200,43.62
Joel+Greenblatt,INAP,2017-09-30,Reduce,Reduce -57.32%,11930,4.04
Joel+Greenblatt,IMPV,2017-09-30, Sold Out ,Sold Out,0,40.2
Joel+Greenblatt,IBM,2017-09-30,Reduce,Reduce -21.05%,240681,148.97
Joel+Greenblatt,HPQ,2017-09-30,Reduce,Reduce -11.49%,1925118,21.75
Joel+Greenblatt,HPE,2017-09-30,Reduce,Reduce -11.24%,2538328,13.68
Joel+Greenblatt,HLIT,2017-09-30, Sold Out ,Sold Out,0,3.9
Joel+Greenblatt,FTNT,2017-09-30, Sold Out ,Sold Out,0,40.31
Joel+Greenblatt,FSLR,2017-09-30,Reduce,Reduce -93.42%,23315,60.18
Joel+Greenblatt,FDS,2017-09-30, Sold Out ,Sold Out,0,196.09
Joel+Greenblatt,FB,2017-09-30,Reduce,Reduce -7.61%,117633,179.0
Joel+Greenblatt,EMKR,2017-09-30, Sold Out ,Sold Out,0,7.5
Joel+Greenblatt,EIGI,2017-09-30, Sold Out ,Sold Out,0,8.95
Joel+Greenblatt,DST,2017-09-30, Sold Out ,Sold Out,0,59.77
Joel+Greenblatt,DOV,2017-09-30, Sold Out ,Sold Out,0,94.22
Joel+Greenblatt,DIOD,2017-09-30,Reduce,Reduce -45.39%,51562,30.94
Joel+Greenblatt,CW,2017-09-30,Reduce,Reduce -81.90%,5638,118.29
Joel+Greenblatt,CTXS,2017-09-30,Reduce,Reduce -31.82%,224292,86.51
