Gurus,Symbol,Date,Action,Comment,Shares,Price
David+Einhorn,MU,2017-06-30,Add,Add 65.63%,2650000,30.69
David+Tepper,MU,2017-06-30,Add,Add 92.83%,12900000,30.69
George+Soros,SIGM,2017-06-30,Add,Add 24.47%,4605326,6.3
George+Soros,NXPI,2017-06-30,Add,Add 10.88%,358690,112.79
Joel+Greenblatt,UCTT,2017-06-30,Add,Add 175.03%,82685,22.69
Joel+Greenblatt,ON,2017-06-30, Buy ,New holding,37951,15.99
Joel+Greenblatt,MXIM,2017-06-30,Add,Add 202.24%,166535,43.99
Joel+Greenblatt,MRVL,2017-06-30,Add,Add 199.49%,971472,15.55
Joel+Greenblatt,FSLR,2017-06-30, Buy ,New holding,354444,47.77
Joel+Greenblatt,FORM,2017-06-30, Buy ,New holding,11316,13.65
Joel+Greenblatt,EMKR,2017-06-30, Buy ,New holding,10456,8.45
Joel+Greenblatt,DIOD,2017-06-30,Add,Add 138.03%,94421,26.75
Joel+Greenblatt,CRUS,2017-06-30,Add,Add 6.98%,405576,54.75
Joel+Greenblatt,AXTI,2017-06-30,Add,Add 35.49%,23601,7.55
Joel+Greenblatt,AVGO,2017-06-30, Buy ,New holding,3666,246.95
John+Paulson,NXPI,2017-06-30,Add,Add 6.04%,1200664,112.79
Seth+Klarman,QRVO,2017-06-30,Add,Add 25.25%,9000000,72.42
