Gurus,Symbol,Date,Action,Comment,Shares,Price
gurus\Arnold+Schneider,IVAC,2017-12-31,Reduce,Reduce -48.52%,186199,6.3
gurus\Arnold+Schneider,HSON,2017-12-31,Reduce,Reduce -50.43%,577979,2.09
gurus\Arnold+Schneider,AVNW,2017-12-31,Reduce,Reduce -48.54%,266990,17.27
gurus\Arnold+Van+Den+Berg,IBM,2017-12-31,Reduce,Reduce -16.06%,51172,155.46
gurus\Arnold+Van+Den+Berg,CERN,2017-12-31, Sold Out ,Sold Out,0,63.99
gurus\Bill+Gates,MSFT,2017-12-31,Reduce,Reduce -14.29%,48000000,92.16
gurus\Carl+Icahn,WBT,2017-12-31,Reduce,Reduce -4.72%,10082660,21.52
gurus\David+Einhorn,TECD,2017-12-31, Sold Out ,Sold Out,0,97.72
gurus\David+Einhorn,MU,2017-12-31,Reduce,Reduce -32.21%,3404100,43.27
gurus\David+Einhorn,HPE,2017-12-31, Sold Out ,Sold Out,0,16.29
gurus\David+Einhorn,AER,2017-12-31,Reduce,Reduce -20.94%,9768178,52.05
gurus\David+Tepper,WDC,2017-12-31,Reduce,Reduce -76.70%,600000,84.05
gurus\David+Tepper,URI,2017-12-31,Reduce,Reduce -18.29%,761478,166.42
gurus\David+Tepper,GOOG,2017-12-31,Reduce,Reduce -37.37%,355729,1081.45
gurus\David+Tepper,AMAT,2017-12-31, Sold Out ,Sold Out,0,52.55
gurus\George+Soros,WBT,2017-12-31, Sold Out ,Sold Out,0,21.52
gurus\George+Soros,VRSN,2017-12-31, Sold Out ,Sold Out,0,115.72
gurus\George+Soros,VMW,2017-12-31, Sold Out ,Sold Out,0,123.89
gurus\George+Soros,VIAV,2017-12-31,Reduce,Reduce -91.34%,443700,9.68
gurus\George+Soros,URI,2017-12-31, Sold Out ,Sold Out,0,166.42
gurus\George+Soros,ULTI,2017-12-31,Reduce,Reduce -11.11%,1600,244.75
gurus\George+Soros,TTWO,2017-12-31,Reduce,Reduce -35.69%,209900,108.04
gurus\George+Soros,TRIP,2017-12-31, Sold Out ,Sold Out,0,42.42
gurus\George+Soros,SYNA,2017-12-31, Sold Out ,Sold Out,0,46.51
gurus\George+Soros,SPLK,2017-12-31, Sold Out ,Sold Out,0,96.35
gurus\George+Soros,RHI,2017-12-31, Sold Out ,Sold Out,0,56.17
gurus\George+Soros,PLAB,2017-12-31, Sold Out ,Sold Out,0,8.0
gurus\George+Soros,ORCL,2017-12-31, Sold Out ,Sold Out,0,50.28
gurus\George+Soros,NUAN,2017-12-31, Sold Out ,Sold Out,0,16.65
gurus\George+Soros,NOW,2017-12-31, Sold Out ,Sold Out,0,150.75
gurus\George+Soros,MTCH,2017-12-31, Sold Out ,Sold Out,0,41.19
gurus\George+Soros,MSTR,2017-12-31, Sold Out ,Sold Out,0,138.2
gurus\George+Soros,MSFT,2017-12-31,Reduce,Reduce -43.98%,57700,92.16
gurus\George+Soros,MODN,2017-12-31,Reduce,Reduce -82.07%,386761,17.75
gurus\George+Soros,MLNX,2017-12-31, Sold Out ,Sold Out,0,63.15
gurus\George+Soros,JNPR,2017-12-31, Sold Out ,Sold Out,0,26.91
gurus\George+Soros,ITW,2017-12-31, Sold Out ,Sold Out,0,161.83
gurus\George+Soros,INVE,2017-12-31,Reduce,Reduce -44.31%,148500,3.8
gurus\George+Soros,INTU,2017-12-31, Sold Out ,Sold Out,0,167.34
gurus\George+Soros,IMPV,2017-12-31, Sold Out ,Sold Out,0,46.5
gurus\George+Soros,HUBS,2017-12-31, Sold Out ,Sold Out,0,104.05
gurus\George+Soros,HDP,2017-12-31, Sold Out ,Sold Out,0,18.34
gurus\George+Soros,GSUM,2017-12-31,Reduce,Reduce -91.86%,150000,10.8
gurus\George+Soros,GRPN,2017-12-31, Sold Out ,Sold Out,0,4.62
gurus\George+Soros,FEYE,2017-12-31, Sold Out ,Sold Out,0,16.65
gurus\George+Soros,FB,2017-12-31, Sold Out ,Sold Out,0,179.43
gurus\George+Soros,EXA,2017-12-31, Sold Out ,Sold Out,0,24.24
gurus\George+Soros,DSPG,2017-12-31, Sold Out ,Sold Out,0,12.2
gurus\George+Soros,CUDA,2017-12-31, Sold Out ,Sold Out,0,27.54
gurus\George+Soros,CSOD,2017-12-31,Reduce,Reduce -81.00%,47143,40.3
gurus\George+Soros,BV,2017-12-31, Sold Out ,Sold Out,0,5.5
gurus\George+Soros,BABA,2017-12-31, Sold Out ,Sold Out,0,187.84
gurus\George+Soros,ATVI,2017-12-31,Reduce,Reduce -95.00%,5900,71.38
gurus\George+Soros,ATHM,2017-12-31, Sold Out ,Sold Out,0,84.26
gurus\George+Soros,AMZN,2017-12-31, Sold Out ,Sold Out,0,1464.1
gurus\George+Soros,ALLT,2017-12-31,Reduce,Reduce -1.03%,5286063,5.35
gurus\George+Soros,AIRG,2017-12-31,Reduce,Reduce -30.15%,201939,10.33
gurus\George+Soros,AGYS,2017-12-31, Sold Out ,Sold Out,0,11.61
gurus\George+Soros,ADSK,2017-12-31, Sold Out ,Sold Out,0,114.27
gurus\George+Soros,ADP,2017-12-31, Sold Out ,Sold Out,0,115.14
gurus\George+Soros,ADI,2017-12-31, Sold Out ,Sold Out,0,85.14
gurus\George+Soros,ADBE,2017-12-31, Sold Out ,Sold Out,0,201.52
gurus\Joel+Greenblatt,ZBRA,2017-12-31,Reduce,Reduce -64.04%,58090,119.01
gurus\Joel+Greenblatt,XLNX,2017-12-31,Reduce,Reduce -89.50%,26798,67.31
