Gurus,Symbol,Date,Action,Comment,Shares,Price
Arnold+Schneider,VECO,2017-06-30,Reduce,Reduce -1.25%,174425.0,18.85
Arnold+Schneider,IVAC,2017-06-30,Reduce,Reduce -53.27%,293860.0,9.0
Arnold+Schneider,ACLS,2017-06-30, Sold Out ,Sold Out,0.0,19.8
Arnold+Van+Den+Berg,IBM,2017-06-30,Reduce,Reduce -3.72%,63474.0,140.7
Arnold+Van+Den+Berg,CERN,2017-06-30,Reduce,Reduce -2.26%,319686.0,63.36
David+Einhorn,AAPL,2017-06-30,Reduce,Reduce -1.07%,3928600.0,160.95
David+Tepper,SYMC,2017-06-30, Sold Out ,Sold Out,0.0,28.3
David+Tepper,SNAP,2017-06-30, Sold Out ,Sold Out,0.0,13.12
George+Soros,YNDX,2017-06-30, Sold Out ,Sold Out,0.0,30.95
George+Soros,WBT,2017-06-30, Sold Out ,Sold Out,0.0,19.89
George+Soros,VMW,2017-06-30, Sold Out ,Sold Out,0.0,96.66
George+Soros,ULTI,2017-06-30, Sold Out ,Sold Out,0.0,193.99
George+Soros,UBNT,2017-06-30, Sold Out ,Sold Out,0.0,66.28
George+Soros,TWTR,2017-06-30,Reduce,Reduce -18.58%,24100.0,16.16
George+Soros,TTWO,2017-06-30,Reduce,Reduce -54.08%,211300.0,92.02
George+Soros,SYMC,2017-06-30, Sold Out ,Sold Out,0.0,28.3
George+Soros,SPLK,2017-06-30, Sold Out ,Sold Out,0.0,60.76
George+Soros,SNAP,2017-06-30,Reduce,Reduce -6.06%,1550000.0,13.12
George+Soros,SHOP,2017-06-30, Sold Out ,Sold Out,0.0,94.61
George+Soros,RUBI,2017-06-30, Sold Out ,Sold Out,0.0,3.65
George+Soros,QTM,2017-06-30,Reduce,Reduce -42.23%,686666.0,5.61
George+Soros,PNR,2017-06-30, Sold Out ,Sold Out,0.0,62.38
George+Soros,ORCL,2017-06-30, Sold Out ,Sold Out,0.0,49.25
George+Soros,NVDA,2017-06-30, Sold Out ,Sold Out,0.0,165.15
George+Soros,NPTN,2017-06-30, Sold Out ,Sold Out,0.0,5.8
George+Soros,NEWR,2017-06-30,Reduce,Reduce -11.28%,11800.0,46.54
George+Soros,MXL,2017-06-30, Sold Out ,Sold Out,0.0,21.78
George+Soros,MXIM,2017-06-30, Sold Out ,Sold Out,0.0,45.69
George+Soros,MTCH,2017-06-30, Sold Out ,Sold Out,0.0,19.26
George+Soros,MSFT,2017-06-30,Reduce,Reduce -68.75%,4000.0,73.65
George+Soros,MODN,2017-06-30,Reduce,Reduce -5.75%,2605966.0,13.45
George+Soros,MLNX,2017-06-30, Sold Out ,Sold Out,0.0,44.4
George+Soros,LRCX,2017-06-30,Reduce,Reduce -74.05%,145497.0,163.22
George+Soros,INVN,2017-06-30, Sold Out ,Sold Out,0.0,12.99
George+Soros,IBM,2017-06-30, Sold Out ,Sold Out,0.0,142.5
George+Soros,HPE,2017-06-30, Sold Out ,Sold Out,0.0,17.6
George+Soros,GOOGL,2017-06-30, Sold Out ,Sold Out,0.0,944.27
George+Soros,GIMO,2017-06-30, Sold Out ,Sold Out,0.0,39.95
George+Soros,GDDY,2017-06-30, Sold Out ,Sold Out,0.0,42.26
George+Soros,FFIV,2017-06-30, Sold Out ,Sold Out,0.0,118.63
George+Soros,FEYE,2017-06-30,Reduce,Reduce -96.63%,6966.0,14.06
George+Soros,FB,2017-06-30,Reduce,Reduce -25.29%,476713.0,170.0
George+Soros,DVMT,2017-06-30,Reduce,Reduce -93.16%,23600.0,67.22
George+Soros,DSPG,2017-06-30,Reduce,Reduce -78.00%,36666.0,11.8
George+Soros,DMRC,2017-06-30, Sold Out ,Sold Out,0.0,28.6
George+Soros,CYBR,2017-06-30, Sold Out ,Sold Out,0.0,40.52
George+Soros,CTXS,2017-06-30, Sold Out ,Sold Out,0.0,76.3
George+Soros,CSCO,2017-06-30, Sold Out ,Sold Out,0.0,32.34
George+Soros,CRUS,2017-06-30, Sold Out ,Sold Out,0.0,56.07
George+Soros,CRM,2017-06-30, Sold Out ,Sold Out,0.0,92.24
George+Soros,CERN,2017-06-30, Sold Out ,Sold Out,0.0,63.96
George+Soros,BV,2017-06-30,Reduce,Reduce -21.60%,1306666.0,4.55
George+Soros,ATVI,2017-06-30,Reduce,Reduce -77.34%,52900.0,62.89
George+Soros,ANET,2017-06-30, Sold Out ,Sold Out,0.0,173.67
George+Soros,AIRG,2017-06-30,Reduce,Reduce -33.97%,209105.0,9.81
George+Soros,ADSK,2017-06-30, Sold Out ,Sold Out,0.0,110.49
George+Soros,ADBE,2017-06-30,Reduce,Reduce -71.43%,1600.0,151.8
Joel+Greenblatt,ZEN,2017-06-30, Sold Out ,Sold Out,0.0,26.7
Joel+Greenblatt,ZBRA,2017-06-30,Reduce,Reduce -33.27%,102763.0,103.07
Joel+Greenblatt,XLNX,2017-06-30,Reduce,Reduce -86.09%,39931.0,61.32
Joel+Greenblatt,VRSN,2017-06-30,Reduce,Reduce -14.76%,101175.0,97.93
Joel+Greenblatt,VMW,2017-06-30,Reduce,Reduce -48.78%,95807.0,95.77
Joel+Greenblatt,VEEV,2017-06-30,Reduce,Reduce -58.04%,43247.0,63.39
Joel+Greenblatt,VDSI,2017-06-30,Reduce,Reduce -39.97%,80360.0,12.2
Joel+Greenblatt,UTEK,2017-06-30, Sold Out ,Sold Out,0.0,30.23
Joel+Greenblatt,UBNT,2017-06-30, Sold Out ,Sold Out,0.0,65.36
Joel+Greenblatt,TYL,2017-06-30, Sold Out ,Sold Out,0.0,169.96
Joel+Greenblatt,TXN,2017-06-30,Reduce,Reduce -23.83%,364192.0,80.15
Joel+Greenblatt,TTMI,2017-06-30,Reduce,Reduce -34.37%,313242.0,12.92
Joel+Greenblatt,TTD,2017-06-30,Reduce,Reduce -24.25%,229484.0,48.37
Joel+Greenblatt,TRUE,2017-06-30, Sold Out ,Sold Out,0.0,16.35
Joel+Greenblatt,TNC,2017-06-30, Sold Out ,Sold Out,0.0,63.25
Joel+Greenblatt,TECD,2017-06-30, Sold Out ,Sold Out,0.0,103.89
Joel+Greenblatt,TDC,2017-06-30,Reduce,Reduce -97.73%,9931.0,30.28
Joel+Greenblatt,TBI,2017-06-30,Reduce,Reduce -20.75%,132257.0,19.75
Joel+Greenblatt,SYMC,2017-06-30, Sold Out ,Sold Out,0.0,28.04
Joel+Greenblatt,SYKE,2017-06-30, Sold Out ,Sold Out,0.0,26.35
Joel+Greenblatt,SWKS,2017-06-30,Reduce,Reduce -5.93%,352294.0,102.21
Joel+Greenblatt,SPXC,2017-06-30,Reduce,Reduce -6.21%,294659.0,24.54
Joel+Greenblatt,SANM,2017-06-30,Reduce,Reduce -6.01%,100178.0,35.2
Joel+Greenblatt,SAIC,2017-06-30,Reduce,Reduce -13.37%,167378.0,69.59
Joel+Greenblatt,RP,2017-06-30, Sold Out ,Sold Out,0.0,41.25
Joel+Greenblatt,RHI,2017-06-30,Reduce,Reduce -1.71%,325337.0,43.24
Joel+Greenblatt,RATE,2017-06-30,Reduce,Reduce -37.15%,167433.0,13.9
Joel+Greenblatt,QTM,2017-06-30, Sold Out ,Sold Out,0.0,5.15
