ZAYO [('2017-03-31', 'Sold Out'), ('2017-06-30', 'New holding'), ('2017-09-30', 'Sold Out'), ('2017-12-31', 'New holding')]
YNDX [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out')]
XXIA [('2017-03-31', 'Sold Out')]
XLE [('2017-03-31', 'Reduce -59.59%'), ('2017-06-30', 'Add 292.31%'), ('2017-09-30', 'Sold Out'), ('2017-12-31', 'New holding')]
WYNN [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out')]
WTR [('2017-03-31', 'Sold Out')]
WTM [('2017-03-31', 'Sold Out'), ('2017-09-30', 'New holding'), ('2017-12-31', 'Sold Out')]
WPX [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out'), ('2017-09-30', 'New holding'), ('2017-12-31', 'Sold Out')]
WMT [('2017-03-31', 'New holding'), ('2017-09-30', 'Reduce -14.63%'), ('2017-12-31', 'Sold Out')]
WMB [('2017-03-31', 'Add 15.57%'), ('2017-06-30', 'Reduce -42.48%'), ('2017-09-30', 'Sold Out')]
WHR [('2017-03-31', 'Reduce -29.81%'), ('2017-06-30', 'Sold Out')]
WFM [('2017-03-31', 'Reduce -22.70%'), ('2017-06-30', 'Reduce -86.19%'), ('2017-09-30', 'Sold Out')]
WBT [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out'), ('2017-09-30', 'New holding'), ('2017-12-31', 'Sold Out')]
WBMD [('2017-03-31', 'Reduce -18.39%'), ('2017-06-30', 'Reduce -25.35%'), ('2017-09-30', 'Sold Out')]
W [('2017-03-31', 'Add 39.48%'), ('2017-06-30', 'Sold Out')]
VRTX [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out')]
VMW [('2017-03-31', 'Add 331.70%'), ('2017-06-30', 'Sold Out'), ('2017-09-30', 'New holding'), ('2017-12-31', 'Sold Out')]
VLRS [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out')]
VIAV [('2017-03-31', 'Reduce -70.58%'), ('2017-06-30', 'Add 883.90%'), ('2017-09-30', 'Add 39.81%'), ('2017-12-31', 'Reduce -91.34%')]
V [('2017-03-31', 'New holding'), ('2017-06-30', 'Sold Out'), ('2017-12-31', 'New holding')]
