Gurus,Symbol,Date,Action,Comment,Shares,Price
Arnold+Schneider,AVNW,2017-06-30,Add,Add 11.49%,518792,16.14
Bill+Ackman,ADP,2017-06-30, Buy ,New holding,1750867,104.68
Bill+Gates,MSFT,2017-06-30, Buy ,New holding,64000000,72.4
David+Einhorn,MU,2017-06-30,Add,Add 65.63%,2650000,30.69
David+Einhorn,HPE,2017-06-30, Buy ,New holding,4450000,17.6
David+Tepper,WDC,2017-06-30,Add,Add 97.69%,2570000,85.85
David+Tepper,URI,2017-06-30,Add,Add 64.23%,1154763,111.97
David+Tepper,MU,2017-06-30,Add,Add 92.83%,12900000,30.69
David+Tepper,GOOG,2017-06-30,Add,Add 23.16%,585000,926.96
David+Tepper,FB,2017-06-30,Add,Add 23.53%,2356218,170.0
David+Tepper,BABA,2017-06-30, Buy ,New holding,3693918,159.5
David+Tepper,ATVI,2017-06-30, Buy ,New holding,525000,62.89
David+Tepper,AAPL,2017-06-30,Add,Add 108.33%,625000,160.95
George+Soros,VIAV,2017-06-30,Add,Add 883.90%,3666666,10.59
George+Soros,TRIP,2017-06-30,Add,Add 22.99%,306580,40.17
George+Soros,SIGM,2017-06-30,Add,Add 24.47%,4605326,6.3
George+Soros,RPD,2017-06-30, Buy ,New holding,252889,16.56
George+Soros,NXPI,2017-06-30,Add,Add 10.88%,358690,112.79
George+Soros,NOW,2017-06-30, Buy ,New holding,50000,109.5
George+Soros,NATI,2017-06-30, Buy ,New holding,13400,40.09
George+Soros,MSTR,2017-06-30, Buy ,New holding,2507,128.72
George+Soros,MBLY,2017-06-30,Add,Add 89.76%,124290,63.53
George+Soros,JNPR,2017-06-30, Buy ,New holding,11200,27.75
George+Soros,INXN,2017-06-30,Add,Add 2.86%,360000,49.67
George+Soros,INVE,2017-06-30, Buy ,New holding,266666,4.98
George+Soros,HUBS,2017-06-30, Buy ,New holding,5000,70.65
George+Soros,HDP,2017-06-30, Buy ,New holding,34400,15.12
George+Soros,GUID,2017-06-30, Buy ,New holding,286666,7.08
George+Soros,GRPN,2017-06-30, Buy ,New holding,70300,3.92
George+Soros,GLUU,2017-06-30, Buy ,New holding,72200,3.11
George+Soros,EXA,2017-06-30,Add,Add 1.89%,1445189,13.92
George+Soros,DATA,2017-06-30, Buy ,New holding,5500,70.82
George+Soros,COMM,2017-06-30,Add,Add 31.58%,250000,32.85
George+Soros,BABA,2017-06-30,Add,Add 79.48%,192400,159.5
George+Soros,AMZN,2017-06-30, Buy ,New holding,7500,978.18
George+Soros,ALLT,2017-06-30,Add,Add 52.80%,5205437,4.9
George+Soros,AGYS,2017-06-30, Buy ,New holding,132935,10.37
George+Soros,AAPL,2017-06-30,Add,Add 21.43%,1700,160.95
Joel+Greenblatt,WEB,2017-06-30,Add,Add 149.68%,158314,23.55
Joel+Greenblatt,WDC,2017-06-30,Add,Add 32.49%,402696,82.48
Joel+Greenblatt,VRSK,2017-06-30,Add,Add 1.73%,2702,80.9
Joel+Greenblatt,VRNT,2017-06-30, Buy ,New holding,11748,38.4
Joel+Greenblatt,URI,2017-06-30,Add,Add 189.94%,377718,111.82
Joel+Greenblatt,UCTT,2017-06-30,Add,Add 175.03%,82685,22.69
Joel+Greenblatt,TTWO,2017-06-30, Buy ,New holding,44959,90.94
Joel+Greenblatt,TTEC,2017-06-30, Buy ,New holding,19787,40.6
Joel+Greenblatt,SYNA,2017-06-30, Buy ,New holding,10725,40.5
Joel+Greenblatt,STX,2017-06-30,Add,Add 4.99%,694963,31.51
Joel+Greenblatt,SSNC,2017-06-30, Buy ,New holding,251211,36.96
Joel+Greenblatt,SQ,2017-06-30, Buy ,New holding,25599,24.54
Joel+Greenblatt,SPSC,2017-06-30, Buy ,New holding,5819,58.55
Joel+Greenblatt,SNPS,2017-06-30,Add,Add 48.82%,233528,76.76
Joel+Greenblatt,SNCR,2017-06-30,Add,Add 110.96%,330707,16.48
Joel+Greenblatt,SCSC,2017-06-30,Add,Add 44.25%,10721,37.4
Joel+Greenblatt,SATS,2017-06-30, Buy ,New holding,87061,57.63
Joel+Greenblatt,RXN,2017-06-30, Buy ,New holding,363852,23.57
Joel+Greenblatt,QSII,2017-06-30,Add,Add 79.50%,114278,15.69
Joel+Greenblatt,PRGS,2017-06-30,Add,Add 88.50%,249257,32.47
Joel+Greenblatt,PRFT,2017-06-30, Buy ,New holding,11031,17.6
Joel+Greenblatt,PLUS,2017-06-30, Buy ,New holding,11312,80.7
Joel+Greenblatt,PFPT,2017-06-30, Buy ,New holding,2562,87.14
Joel+Greenblatt,PCTY,2017-06-30, Buy ,New holding,14162,45.1
Joel+Greenblatt,PAYC,2017-06-30, Buy ,New holding,12877,70.45
Joel+Greenblatt,OSIS,2017-06-30,Add,Add 609.17%,52174,78.85
Joel+Greenblatt,ORCL,2017-06-30,Add,Add 453.99%,488994,48.55
Joel+Greenblatt,ON,2017-06-30, Buy ,New holding,37951,15.99
Joel+Greenblatt,OMCL,2017-06-30, Buy ,New holding,33566,49.3
Joel+Greenblatt,OCLR,2017-06-30,Add,Add 95.66%,195757,8.31
Joel+Greenblatt,NUAN,2017-06-30,Add,Add 220.35%,280276,15.86
Joel+Greenblatt,NTCT,2017-06-30, Buy ,New holding,133384,32.7
Joel+Greenblatt,NTAP,2017-06-30,Add,Add 146.35%,928902,39.56
Joel+Greenblatt,NSP,2017-06-30, Buy ,New holding,11706,80.65
