"Date","Open","Hight","Low","Close","Volume"
"2016-10-07",9.1,9.99,8,8.02,1793675
"2016-10-10",8,8.38,8,8,267622
"2016-10-11",8,8.14,7.45,7.5,282406
"2016-10-12",7.5,7.59,7.5,7.5,98964
"2016-10-13",7.5,7.63,6.15,6.78,145423
"2016-10-14",6.58,6.8,6.28,6.5,115255
"2016-10-17",6.65,6.69,6.25,6.69,162170
"2016-10-18",6.75,6.75,6.4,6.62,82104
"2016-10-19",6.75,6.75,6.4,6.56,22002
"2016-10-20",6.41,6.68,6.41,6.61,49378
"2016-10-21",6.51,6.65,6.45,6.5,90505
"2016-10-24",6.54,6.59,6.43,6.46,19128
"2016-10-25",6.46,6.69,6.25,6.33,57110
"2016-10-26",6.29,7.36,6.26,7.36,98200
"2016-10-27",7.3,7.65,6.86,7.5,275304
"2016-10-28",7.51,7.52,6.59,6.82,55283
"2016-10-31",6.88,6.9,6.59,6.66,39632
"2016-11-01",6.4,7.3,6.4,7.25,19043
"2016-11-02",7.42,7.42,6.75,6.98,54118
"2016-11-03",7.2,7.2,6.45,6.59,68403
"2016-11-04",6.93,7,6.47,6.87,44340
"2016-11-07",7.25,7.25,6.75,6.84,23995
"2016-11-08",6.87,7.19,6.75,7.04,19299
"2016-11-09",6.98,7.25,6.9,6.92,13190
"2016-11-10",7.25,7.25,6.9,7.03,9626
"2016-11-11",7,7,6.8,6.8,9735
"2016-11-14",6.8,7.16,6.77,6.93,36062
"2016-11-15",7.49,7.6,6.81,6.91,33890
"2016-11-16",7.2,7.53,6.95,6.96,17634
"2016-11-17",7.04,7.04,6.86,6.86,22781
"2016-11-18",7.48,7.48,6.8,7.2,30812
"2016-11-21",7.19,7.22,7,7.22,36604
"2016-11-22",7.2,7.25,7.15,7.23,27006
"2016-11-23",7.28,7.28,6.9,7.07,136907
"2016-11-25",7.07,7.29,7.07,7.29,9535
"2016-11-28",7.17,7.24,7,7.23,18361
"2016-11-29",7.17,7.33,7.15,7.33,21103
"2016-11-30",7.28,7.4,7.2,7.34,8254
"2016-12-01",7.35,7.59,7.3,7.5,22879
"2016-12-02",7.5,7.5,7.21,7.37,28186
"2016-12-05",7.44,7.64,7.17,7.39,42079
"2016-12-06",7.45,7.45,7.22,7.3,100706
"2016-12-07",7.28,7.5,7.28,7.35,28961
"2016-12-08",7.35,7.48,7.25,7.35,30762
"2016-12-09",7.35,7.35,7.2,7.34,21051
"2016-12-12",7.34,7.74,7.34,7.44,96744
"2016-12-13",7.45,7.45,7.36,7.44,44335
"2016-12-14",7.39,7.42,7.15,7.25,26658
"2016-12-15",7.4,7.44,7.15,7.17,26721
"2016-12-16",7.2,7.44,6.63,6.63,158172
"2016-12-19",6.77,7.14,6.77,6.91,38474
"2016-12-20",6.94,7.23,6.94,7.09,74551
"2016-12-21",7.12,7.34,7.06,7.07,71395
"2016-12-22",7.07,7.35,7.07,7.35,73993
"2016-12-23",7.36,7.45,7.15,7.33,23531
"2016-12-27",7.34,7.34,7.13,7.29,14816
"2016-12-28",7.5,7.5,7.28,7.28,27964
"2016-12-29",7.4,7.4,7.31,7.38,115548
"2016-12-30",7.5,8.3,7.34,8.29,67735
"2017-01-03",8.26,8.26,7.6,7.63,20657
"2017-01-04",7.65,7.94,7.3,7.61,14942
"2017-01-05",7.47,8.24,7.45,7.58,10077
"2017-01-06",7.73,8.19,7.64,7.66,102405
"2017-01-09",7.71,8.04,7.71,8,3487
"2017-01-10",8.02,8.08,7.77,7.78,5435
"2017-01-11",8.2,8.49,8,8.41,52277
"2017-01-12",8.6,8.6,8.03,8.03,29038
"2017-01-13",8.05,8.41,8.04,8.05,29280
"2017-01-17",8.03,8.2,8.03,8.11,35253
"2017-01-18",8.33,8.4,8.24,8.26,18311
"2017-01-19",8.47,8.5,8.22,8.24,32728
"2017-01-20",8.29,8.32,8.03,8.32,22967
"2017-01-23",8.32,8.32,8,8.25,20152
"2017-01-24",8.26,8.3,7.91,8.03,30954
"2017-01-25",8.03,8.32,8.03,8.18,31658
"2017-01-26",8.15,8.26,8.15,8.26,33242
"2017-01-27",8.43,8.44,8.21,8.24,10291
"2017-01-30",8.23,8.49,8.2,8.24,10375
"2017-01-31",8.45,8.45,8.01,8.11,16020
"2017-02-01",8.1,8.1,7.95,7.99,23659
"2017-02-02",7.86,8.01,7.86,7.97,24909
"2017-02-03",8.1,8.12,7.95,8.05,21856
"2017-02-06",7.99,8.1,7.94,8.01,5607
"2017-02-07",8.08,8.08,8,8,7751
"2017-02-08",7.93,8,7.9,7.92,40623
"2017-02-09",7.98,7.99,7.78,7.85,18608
"2017-02-10",7.85,8.02,7.85,7.99,3934
"2017-02-13",7.95,7.99,7.95,7.95,2018
"2017-02-14",7.95,8.71,7.95,8.7,114784
"2017-02-15",9.25,9.43,8.7,9.09,276566
"2017-02-16",9.18,9.38,8.82,9.04,42223
"2017-02-17",9.04,9.47,9.02,9.33,52856
"2017-02-21",9.44,10,9.41,9.99,120872
"2017-02-22",10.08,10.16,9.9,10.13,64255
