"Date","Open","Hight","Low","Close","Volume"
"2011-09-02",135.8,138.4,120,134,1182
"2011-09-06",133,133,132.12,132.2,232
"2011-09-07",133,135,123,133.8,617
"2011-09-08",130,134,120.8,130,458
"2011-09-09",128,128,124,125,819
"2011-09-12",120.6,128,120.6,128,123
"2011-09-13",127,128,122.2,126,175
"2011-09-14",126,126,120,123,1384
"2011-09-15",120,124.4,119.6,124.2,344
"2011-09-16",122,124,113.4,114,358
"2011-09-19",104.2,119.4,104,114.4,371
"2011-09-20",111,113.2,110.8,113.2,357
"2011-09-21",113.6,118.07,104,107.6,781
"2011-09-22",104,112,104,110.4,345
"2011-09-23",104.4,114.8,104,114.2,218
"2011-09-26",112,116.8,111.2,111.2,530
"2011-09-27",109.6,112.4,107.2,111.98,129
"2011-09-28",108.2,115,107.8,110.5,279
"2011-09-29",108.6,108.6,100,105.6,548
"2011-09-30",100.8,110.6,100.8,105.38,2500
"2011-10-03",102,107.4,100,104.8,514
"2011-10-04",104.8,105,95.8,101.8,837
"2011-10-05",95.4,107,95.4,104.6,396
"2011-10-06",101.2,103,96.2,100.4,767
"2011-10-07",100,100,96.22,99.8,468
"2011-10-10",96.2,97.8,91,95.6,2353
"2011-10-11",94.2,95,89.4,94.8,12283
"2011-10-12",97,97.2,90.2,95,1695
"2011-10-13",91.6,97,90,97,1007
"2011-10-14",96.46,98,94,96.8,1660
"2011-10-17",99.8,99.8,93,95,618
"2011-10-18",93,99.8,93,99,105
"2011-10-19",NA,NA,NA,93,0
"2011-10-20",90.4,94.8,89.7,92.8,198
"2011-10-21",90.58,101.4,90.58,99.8,608
"2011-10-24",106,106,95.2,95.2,1428
"2011-10-25",95.6,99.8,95,99.6,68
"2011-10-26",100.4,103.78,95.42,100,555
"2011-10-27",102.6,103,98.6,100.4,1326
"2011-10-28",102,102,97.6,99.8,519
"2011-10-31",102,102,98,101.6,614
"2011-11-01",100.2,102,100,100.6,285
"2011-11-02",100.1,100.4,97.4,100.4,204
"2011-11-03",NA,NA,NA,98.4,0
"2011-11-04",99.11,101.2,98,101.2,50
"2011-11-07",102,102,97.2,97.2,104
"2011-11-08",99,99.4,98,99,116
"2011-11-09",NA,NA,NA,98,0
"2011-11-10",NA,NA,NA,99.8,0
"2011-11-11",99.8,101,97.1,101,105
"2011-11-14",100.2,100.2,97,97.8,75
"2011-11-15",NA,NA,NA,96.4,0
"2011-11-16",99.7,102,99.7,101.2,768
"2011-11-17",102,104.8,102,104.8,918
"2011-11-18",105,114.6,105,114,21613
"2011-11-21",111.2,113.2,109.2,113,294
"2011-11-22",109.72,112.6,109.72,112.6,28
"2011-11-23",NA,NA,NA,115,0
"2011-11-25",116,117.6,115,115,250
"2011-11-28",118.2,118.2,110.6,115,416
"2011-11-29",109.4,119.4,109.4,117.8,165
"2011-11-30",110,120,110,110.8,1093
"2011-12-01",109.2,110,97,104,1589
"2011-12-02",104,106,104,106,487
"2011-12-05",106,112.8,106,112.8,488
"2011-12-06",112.8,114.8,112.8,114.6,166
"2011-12-07",114,120,114,117,533
"2011-12-08",111.6,117.2,107.2,111.2,752
"2011-12-09",112,112,104,109.4,730
"2011-12-12",107.2,110.8,107.2,109.6,417
"2011-12-13",119.2,119.2,105,110,622
"2011-12-14",107.8,119,102.8,109.8,815
"2011-12-15",108,109.8,106,109.8,386
"2011-12-16",106.8,110,102,103,1171
"2011-12-19",104.6,108,102,103.96,430
"2011-12-20",105.4,108,96.4,101,1220
"2011-12-21",101.8,110,101.4,108,829
"2011-12-22",103.8,108,101,101,513
"2011-12-23",NA,NA,NA,102.6,0
"2011-12-27",99.2,102.2,97,100.8,503
"2011-12-28",97.6,102.6,97.02,100.6,230
"2011-12-29",98.8,102.4,98.8,99.4,172
"2011-12-30",NA,NA,NA,107,0
"2012-01-03",107,107,97.48,103.8,560
"2012-01-04",105.8,105.8,94.6,103.4,217
"2012-01-05",NA,NA,NA,103.4,0
"2012-01-06",101,101,99.8,99.8,16
"2012-01-09",103.6,103.8,94.2,101.8,105
"2012-01-10",101.8,102,101,101.4,74
"2012-01-11",102.4,102.4,100,101.8,598
"2012-01-12",100.2,103.6,99.8,102.2,751
"2012-01-13",NA,NA,NA,100,0
"2012-01-17",100,100,94.2,99.8,518
"2012-01-18",99.6,103.2,99.2,101.6,120
"2012-01-19",102.4,102.4,101.8,101.8,15
"2012-01-20",101.6,102.4,101.4,102,375
"2012-01-23",100,103.8,100,101,159
"2012-01-24",102.6,102.6,101,101,10
"2012-01-25",103.4,103.4,98.46,100,81
"2012-01-26",98.8,101.8,94,100.6,303
"2012-01-27",103.4,103.4,95,98.6,228
"2012-01-30",96.2,99.8,96.2,99.8,73
"2012-01-31",97,99.2,97,99.17,435
"2012-02-01",99,99,94.2,95.4,210
"2012-02-02",95,100.6,94,95.8,1396
"2012-02-03",97.8,98.2,95.6,98,12235
"2012-02-06",99,100,98.75,100,99
"2012-02-07",99,104,99,101.2,2582
"2012-02-08",100,103.2,100,102.2,1080
"2012-02-09",102.2,103.2,100.2,103,2071
"2012-02-10",103,103.2,100,101.6,1151
"2012-02-13",101.2,102.8,98.8,102.8,2387
"2012-02-14",100,102,100,102,180
"2012-02-15",99.6,101,96.6,96.6,163
"2012-02-16",98.8,100.8,98.8,100,782
"2012-02-17",100.2,101.8,100,101.8,347
"2012-02-21",103.8,104,101.8,103.9,599
"2012-02-22",102.8,106,102.6,102.6,360
"2012-02-23",103.2,104.6,102,104.6,113
"2012-02-24",104,110,104,108.2,2437
"2012-02-27",109.2,115,109.2,112,909
"2012-02-28",112,112,109.4,109.4,66
"2012-02-29",109.8,110,101.4,110,965
"2012-03-01",109,110,106,109.4,338
"2012-03-02",110.4,112,106.4,107,700
"2012-03-05",111.8,111.8,106,107,673
"2012-03-06",105.4,106.8,105.2,105.6,163
"2012-03-07",105.6,106.8,105,106.8,244
"2012-03-08",105.8,106.8,105,106.8,303
"2012-03-09",105.2,107.6,103,107.54,1551
"2012-03-12",109.8,115.4,109.6,115.4,5795
"2012-03-13",117,117.4,114.8,114.8,1431
"2012-03-14",116.2,116.8,109.23,113.4,1066
"2012-03-15",114,114.6,111.8,111.8,244
"2012-03-16",112.6,116.97,107.8,114.4,664
"2012-03-19",114.4,114.4,108,109.99,599
"2012-03-20",113.9,113.9,107.8,110.8,180
"2012-03-21",110.6,114.8,109.92,111,187
"2012-03-22",113.6,114.2,110.4,112.8,306
"2012-03-23",113.6,113.6,110,112.2,785
"2012-03-26",112,113,107.6,112.6,619
"2012-03-27",112.2,117.2,112.2,113.4,1689
"2012-03-28",112.47,113.2,111.8,113,350
"2012-03-29",113,116.6,113,115.2,1004
"2012-03-30",117,117,114.4,116,580
"2012-04-02",116.6,117.6,113.4,113.8,745
"2012-04-03",113.8,116,113.8,115.2,1050
"2012-04-04",115.4,116,113,114.6,763
"2012-04-05",115.6,118.6,114.8,116.8,5059
"2012-04-09",117.2,117.2,115,115,273
"2012-04-10",114.6,114.6,111,111,406
"2012-04-11",113.4,120,113.4,117.4,7102
"2012-04-12",118.4,119.8,116,116,788
"2012-04-13",115.6,119,114.4,119,1375
"2012-04-16",120.2,120.4,118,119.6,438
"2012-04-17",119.4,119.4,117.4,118.2,950
"2012-04-18",118.2,119.2,117.8,117.8,525
"2012-04-19",118,118.8,117.2,117.8,622
"2012-04-20",116.35,117.4,116.2,116.8,179
"2012-04-23",116.4,116.4,111,112.4,703
"2012-04-24",113.8,114.8,105.2,114.8,413
"2012-04-25",111.8,116.4,111.8,116.2,2143
"2012-04-26",117.8,118.4,116,117.8,339
"2012-04-27",117,119,111,116,2463
"2012-04-30",117,120,117,118.4,1084
"2012-05-01",118,127.6,118,127.6,2550
"2012-05-02",127.6,127.6,121.42,125.2,395
"2012-05-03",124,124,121.2,121.8,1040
"2012-05-04",121.2,125,117.6,122,735
"2012-05-07",118.8,124.6,118.6,118.6,394
"2012-05-08",117.6,118.2,117.6,118.2,68
"2012-05-09",119.8,119.8,117.2,117.2,55
"2012-05-10",116.4,116.4,107.4,107.95,1764
"2012-05-11",108,111,98.2,108,1936
"2012-05-14",108.4,108.4,102.6,105.6,427
"2012-05-15",107,110,107,110,183
"2012-05-16",108.2,108.4,103.8,106.8,480
"2012-05-17",NA,NA,NA,103.8,0
"2012-05-18",105,105,92,99.2,3840
"2012-05-21",81.6,96,64,86.8,13110
"2012-05-22",88,94.6,84,88,4747
"2012-05-23",88.8,92,85.6,91.2,2161
"2012-05-24",91,94.15,84,84.6,1794
"2012-05-25",84.2,84.6,80,82,2071
"2012-05-29",85.4,86.9,80,83.8,1145
"2012-05-30",82.2,85,82,85,707
"2012-05-31",82.4,90.2,82.4,85.4,1475
"2012-06-01",86.2,89.8,86,87,475
"2012-06-04",89,89,84.6,85.4,292
"2012-06-05",87.8,89,87.6,88.8,551
"2012-06-06",90.2,96.78,90.2,96,4198
"2012-06-07",98,103.2,95.8,98.8,2047
"2012-06-08",96.8,103.6,92.2,93.2,1251
"2012-06-11",97.8,101.6,97.6,97.6,2009
"2012-06-12",98,99.2,90.8,91.4,1814
"2012-06-13",92.8,92.8,90.6,90.6,688
"2012-06-14",90.6,92.56,90.6,91.6,170
"2012-06-15",92.6,94.4,91.29,91.8,390
"2012-06-18",91,93,90,92.6,703
"2012-06-19",90.4,92,90,92,357
"2012-06-20",91.4,97,91.4,94.6,628
"2012-06-21",93,93.11,90.6,92.98,220
"2012-06-22",91.99,93.6,91.62,93.4,2314
"2012-06-25",93.4,93.4,91.8,91.8,181
"2012-06-26",93.2,95,92.4,92.6,322
"2012-06-27",93.8,95,84.4,94,1049
"2012-06-28",92.4,93.2,87.4,90.8,346
"2012-06-29",90.4,91.4,86,88.8,950
"2012-07-02",89.04,93.6,80.6,85.8,870
"2012-07-03",81.6,85,80,84.8,1815
"2012-07-05",84.8,84.8,76.2,79,2306
"2012-07-06",79,81.6,79,80,324
"2012-07-09",81,88.4,81,85.4,1658
"2012-07-10",85.8,85.8,80.2,83.4,448
"2012-07-11",81.6,83.6,79,79,441
"2012-07-12",80,81.7,78,80,1892
"2012-07-13",80,81.5,74.6,79,594
"2012-07-16",78.2,79.6,68,71.6,1731
"2012-07-17",71.6,78.4,70,78,1182
"2012-07-18",78.6,78.6,73,75,409
"2012-07-19",76.1,76.1,72.2,75.2,127
"2012-07-20",72.8,73,70.2,71,804
"2012-07-23",70,71.6,69.2,69.2,624
"2012-07-24",67.8,68.1,67.8,68,275
"2012-07-25",67,69.8,66.4,69.8,104
"2012-07-26",69.4,74.4,69,74.4,505
"2012-07-27",72.6,80,69.61,79.4,469
"2012-07-30",75.2,78.2,74.8,76,615
"2012-07-31",76.2,76.99,76,76.6,259
"2012-08-01",78,79.8,76,78.2,1062
"2012-08-02",92.2,95,79,79.8,11240
"2012-08-03",84.4,86.2,82.6,85,3119
"2012-08-06",86,86,84,84.2,542
"2012-08-07",86,86.8,80,82.8,1614
"2012-08-08",81,85,80.2,80.6,389
"2012-08-09",82.6,87.6,82.6,87,1039
"2012-08-10",86,87.2,84.4,87.2,923
"2012-08-13",85.6,85.6,84.2,85,256
"2012-08-14",85.8,87,80.2,82.8,244
"2012-08-15",83,83,80,80.78,1042
"2012-08-16",80,81.8,78.78,81.8,1082
"2012-08-17",82,83,78.84,82,534
"2012-08-20",81,81.4,80,81.4,361
"2012-08-21",80.2,81.6,80,80,406
"2012-08-22",81,81,80.58,80.58,164
"2012-08-23",80.2,80.2,76.6,80,114
"2012-08-24",78.41,79.62,76,79.18,565
"2012-08-27",78,78.62,75.43,77.6,466
"2012-08-28",73,78,73,77.2,347
"2012-08-29",75.03,77.6,75,77.6,320
"2012-08-30",73.2,83.8,72.2,79,2231
"2012-08-31",80,81,75.6,79.6,6233
"2012-09-04",79.6,80,78,79.8,255
"2012-09-05",78.16,80,76.23,78.8,146
"2012-09-06",75,83.4,75,78,1368
"2012-09-07",80.4,80.8,76.6,80,453
"2012-09-10",80,80,80,80,11
"2012-09-11",80,80,78,79,46
"2012-09-12",77.2,79.6,77,77,276
"2012-09-13",76.2,78.6,76.2,76.8,25
"2012-09-14",78,78,76.4,78,45
"2012-09-17",78.2,79,78.2,79,20
"2012-09-18",76.4,78.6,76.4,78.6,40
"2012-09-19",79,79,79,79,45
"2012-09-20",77.2,77.2,77.2,77.2,25
"2012-09-21",77.4,77.4,75.8,75.8,94
"2012-09-24",78,78,75.4,77,1295
"2012-09-25",77,77,75.8,76.8,1772
"2012-09-26",78.4,78.4,71.8,76.6,990
"2012-09-27",80,84,78.87,80,7777
"2012-09-28",80,80.4,79,80,2037
"2012-10-01",81.6,84,79,79,1245
"2012-10-02",80.2,82,80.2,82,636
"2012-10-03",80.6,83,80,80.8,606
"2012-10-04",81.2,84,79.2,81.4,837
"2012-10-05",80,80.6,79,80.6,580
"2012-10-08",79.67,82.4,78,82.4,304
"2012-10-09",81,81,78.4,80,349
"2012-10-10",80.4,81.6,78,81.6,2524
"2012-10-11",81,82,79.2,81.8,186
"2012-10-12",81.6,82,79,79.8,220
"2012-10-15",80.8,80.8,78.2,80,1134
"2012-10-16",79.2,80.2,77.2,78,1699
"2012-10-17",78,78,76.6,77.4,680
"2012-10-18",76.4,77.4,75.4,77.4,539
"2012-10-19",75,78,75,78,697
"2012-10-22",77,77,73.8,76.2,268
"2012-10-23",75.2,76.4,72.6,74.8,975
"2012-10-24",74.4,74.4,69.8,71.4,1105
"2012-10-25",71.6,72,54,71.8,11275
"2012-10-26",70.8,71,62.4,69.4,2101
"2012-10-31",67.2,70.6,60.8,68.6,755
"2012-11-01",66.2,66.24,60.4,65,1779
"2012-11-02",65.2,66.2,60.26,65.8,737
"2012-11-05",64.8,67,63.4,66.2,933
"2012-11-06",67.8,67.8,66.8,67.8,901
"2012-11-07",68,68.2,67.2,68.2,370
"2012-11-08",68.6,69,67.18,68.2,988
"2012-11-09",68.8,69.2,66.6,66.6,1387
"2012-11-12",66.4,68.6,64,67.95,1122
"2012-11-13",68.6,69.6,67.4,69.6,204
"2012-11-14",68.2,71,65.6,71,963
"2012-11-15",69.2,69.6,63.8,69,197
"2012-11-16",71,71,67.2,70.2,183
"2012-11-19",70.2,70.6,65.4,68.6,578
"2012-11-20",67.2,68.2,63,65.8,644
"2012-11-21",64.8,68.4,63.96,68.4,105
"2012-11-23",63.6,68.8,63.6,68.6,114
"2012-11-26",67.6,70,63.2,64.6,790
"2012-11-27",66,69,61.4,64.8,445
"2012-11-28",63.6,66,63,63.2,155
"2012-11-29",63,65.2,62.04,65,359
"2012-11-30",61.4,63.96,55,62.4,15520
"2012-12-03",62.6,63.4,61.1,63.2,957
"2012-12-04",64,64,60.2,61.8,1074
"2012-12-05",63.2,63.2,58,61.6,1066
"2012-12-06",61.2,61.2,55.6,59.2,1072
"2012-12-07",59.4,59.8,58,59.8,687
"2012-12-10",59.2,59.8,55.6,59.6,1593
"2012-12-11",58.8,59.8,58,58.4,921
"2012-12-12",56.2,59.4,56.2,59,582
"2012-12-13",59,59.6,58.8,59.4,250
"2012-12-14",59.4,59.6,57.8,59.6,255
"2012-12-17",59.8,59.8,57.74,59.8,1003
"2012-12-18",59.8,59.8,57,59,305
"2012-12-19",59,59,56.2,59,1023
"2012-12-20",59.2,59.2,50,51.8,5134
"2012-12-21",50.4,51.4,48,48.2,1814
"2012-12-24",50,51.4,49,51.2,1016
"2012-12-26",53,53.2,51.8,53.2,959
"2012-12-27",53.4,56.6,51,54.4,1497
"2012-12-28",53,59.8,51.2,54.2,6831
"2012-12-31",53.2,57.4,48,57.4,3004
"2013-01-02",56,56,50.6,53.2,1982
"2013-01-03",52.2,52.2,46.42,51.6,1942
"2013-01-04",51,51,49.23,51,252
"2013-01-07",50.97,50.97,48,50,747
"2013-01-08",50,50,47.2,49.4,705
"2013-01-09",50.6,50.8,46,48.2,1243
"2013-01-10",47,47,44.2,45.6,1337
"2013-01-11",46,46,43,46,920
"2013-01-14",45.6,45.6,43.4,44.6,3178
"2013-01-15",45,46.2,44.22,46,3318
"2013-01-16",46.8,47.8,46.8,47.6,704
"2013-01-17",46.6,48,46.6,48,1393
"2013-01-18",47,47.8,46,46.8,458
"2013-01-22",46,47.6,45.8,46.8,547
"2013-01-23",46.6,46.8,45.06,46.8,368
"2013-01-24",46,47,45.8,46.6,142
"2013-01-25",46,47,46,46.8,361
"2013-01-28",45.2,46.8,45,46.2,509
"2013-01-29",46.8,46.8,42.8,44.2,1257
"2013-01-30",44.2,45.6,41.2,42,489
"2013-01-31",43,45.6,43,44.4,400
"2013-02-01",44.6,45.8,42,45.8,3414
"2013-02-04",44,45.6,43.4,44.8,517
"2013-02-05",43,44.8,42.2,44.8,756
"2013-02-06",44.2,44.8,41.6,44.6,824
"2013-02-07",43.2,44.8,38,41,2129
"2013-02-08",40,41.2,36.4,40.8,1101
"2013-02-11",40.2,40.2,38.1,39.4,1458
"2013-02-12",39,39,35.4,36.8,1351
"2013-02-13",36.8,38.6,35.8,37.2,1238
"2013-02-14",36,36,33.4,35.6,3353
"2013-02-15",34.8,35.6,34,35.4,4950
"2013-02-19",36.6,36.92,35.6,36.2,708
"2013-02-20",36,36,35.8,36,272
"2013-02-21",35.6,35.8,35.2,35.6,215
"2013-02-22",35,35.2,30.4,32.8,1873
"2013-02-25",31.4,32.8,31.2,32.8,929
"2013-02-26",32.6,32.6,31.4,32.4,398
"2013-02-27",32.2,32.2,30.4,32.2,1415
"2013-02-28",31.8,32.4,30.4,31.6,1502
"2013-03-01",31.4,31.4,30,30.8,2122
"2013-03-04",29.8,34,29,33.2,2659
"2013-03-05",34,35.4,30.2,32.4,2505
"2013-03-06",31,32.8,29.6,29.6,1581
"2013-03-07",31.2,32.2,31,31.8,1174
"2013-03-08",31.8,33,29.8,32.8,1768
"2013-03-11",32,33,31.8,31.8,544
"2013-03-12",31.4,43,31.4,42,12273
"2013-03-13",40,40.74,37.2,40.4,8532
"2013-03-14",42,42,38,40.4,1146
"2013-03-15",41.8,44.2,39.4,43.8,5992
"2013-03-18",44,44,43.2,43.59,1533
"2013-03-19",42.8,43.4,42.4,43.4,1916
"2013-03-20",43.6,44,39.8,42,1945
"2013-03-21",41,42.6,40,40.4,533
"2013-03-22",41.4,41.4,37.4,38.6,1629
"2013-03-25",40,43.2,39.6,43,4559
"2013-03-26",43.4,44,40.6,40.6,1186
"2013-03-27",38,43,38,43,5219
"2013-03-28",43,44.6,43,44.6,7209
"2013-04-01",44.6,44.6,43,44.4,3339
"2013-04-02",44.4,46.6,44.4,45.6,2054
"2013-04-03",45,49.74,44.6,45.2,1351
"2013-04-04",45,46.6,44.49,45.8,794
"2013-04-05",44.59,46,44,46,1389
"2013-04-08",46,46.6,45.8,46.6,359
"2013-04-09",46.6,46.6,45.2,46.4,406
"2013-04-10",45.8,46.6,45.2,46.2,704
"2013-04-11",46.6,46.6,45,45.2,1224
"2013-04-12",45,46.6,45,46,409
"2013-04-15",45.67,46,44.4,45.8,670
"2013-04-16",46.2,46.2,45.4,46,96
"2013-04-17",45.2,46.4,45,45.8,403
"2013-04-18",46.2,46.6,44.4,45.6,1378
"2013-04-19",46.4,46.4,44,45.4,920
"2013-04-22",44.8,46.4,44.8,45.8,832
