Symbol,Cap (in million)
PFPT,3871
QRVO,9060
VSAT,3429
MDRX,2308
MANH,2910
PCTY,2323
SNX,4602
MAN,7127
CRTO,3209
CYOU,2036
FSLR,4988
FFIV,7486
SAIC,3039
NUAN,4562
ACIW,2513
IDTI,3131
EPAM,4193
NATI,5116
ELLI,2815
ZBRA,5437
SQ,6181
RP,3409
YY,3976
WUBA,7771
CVG,2183
LN,7705
DATA,4156
FLEX,8416
FTNT,6421
CACI,3064
DST,3130
BLKB,3924
INXN,3501
URI,9453
TYL,6340
IPG,8121
RHI,5499
GDDY,3783
SGMS,3067
PAYC,4197
GWRE,5272
CREE,2221
JBT,2730
OTEX,8495
JBL,5284
STX,9195
BITA,2517
MRVL,7815
TRIP,5035
TRTN,2485
VRNT,2406
ZEN,2642
FDS,6319
WBT,2735
CLGX,3793
TTWO,9687
ARRS,5077
TEAM,3276
AZPN,4349
SABR,4910
NICE,4531
CAVM,4221
BRCD,5002
AER,7876
JOBS,3531
SSNC,7587
TSEM,2451
MSCC,5655
IPGP,8828
ULTI,5684
RNG,2376
NTCT,2927
MPWR,4038
PEGA,4219
ASGN,2432
JKHY,7665
AAN,3071
CY,4358
COMM,6339
FEYE,2548
CW,4160
SMTC,2369
GFNCP,2551
TDC,3963
MLNX,2192
HUBS,2519
FNSR,2694
ZNGA,2772
SINA,7010
GRPN,2140
SATS,2758
MIDD,6742
ATHM,7365
RXN,2445
VRSN,9785
MOMO,8676
LOGI,5674
ON,6727
SANM,2653
MDSO,4243
LECO,5604
DOX,9157
AMKR,2005
TWOU,2279
CVLT,2669
PTC,6121
SNAP,9106
SPLK,8186
CRUS,3493
MIXT,5087
SOHU,2081
TECD,3961
YNDX,8500
SLAB,3129
WIX,2718
VIAV,2318
MTSI,2619
NEWR,2489
LDOS,8458
VEEV,6895
SHOP,7988
JCOM,3532
AL,4064
CSRA,5214
UBNT,5246
DSGX,2066
BKFS,2856
