Symbol, Sub
AAOI, IC
ADI, IC
AMKR, IC
AXTI, IC
CCMP, IC
DIOD, IC
DSPG, IC
EMKR, IC
EXAR, IC
INVN, IC
MOSY, IC
MRVL, IC
MSCC, IC
MXL, IC
POWI, IC
PRKR, IC
PXLW, IC
QUIK, IC
RESN, IC
SCON, IC
SLAB, IC
SMI, IC
SMTC, IC
SQNS, IC
SWKS, IC
TSEM, IC
TSM, IC
XLNX, IC
AMD, Broad
AUO, Broad
AVGO, Broad
CAVM, Broad
CY, Broad
FORM, Broad
GSIT, Broad
IDTI, Broad
INTC, Broad
IPHI, Broad
KOPN, Broad
MCHP, Broad
MLNX, Broad
MTSI, Broad
MXIM, Broad
NPTN, Broad
NXPI, Broad
ON, Broad
QRVO, Broad
STM, Broad
TXN, Broad
AOSL, spec
CEVA, spec
CRUS, spec
CSIQ, spec
FSLR, spec
HIMX, spec
HQCL, spec
IXYS, spec
JASO, spec
JKS, spec
LSCC, spec
MPWR, spec
MX, spec
NVDA, spec
NVEC, spec
SEDG, spec
SIGM, spec
SOL, spec
SPWR, spec
UCTT, spec
YGE, spec
LEDS, memory chip
MU, memory chip
NLST, memory chip
RMBS, memory chip


