Symbol,content
VGT,Vanguard Information Technology
VWO,Vanguard International
VCR,Consumer Discretionary
VDC,Consumer Staples
VDE,Energy
VFH,Financials
VHT,Health care
VIS,Industrial
VAW,Materials
VOX,Telecommunication
VPU,Utilities
VNQ,REIT
