Symbol,Cap (in million)
AMD,11683
ERIC,19656
NXPI,38028
KYO,22514
TSM,928034
CHKP,17458
BIDU,76651
NOW,18153
FB,395631
DOV,13087
WDAY,13479
AUO,36859
SPIL,24335
NTAP,10698
JNPR,10377
ATVI,46329
CTSH,41573
ADBE,73137
IBM,131123
CERN,21009
PNR,11135
SAP,125344
RHT,17863
NVDA,96074
AVGO,100408
ASML,64859
SYMC,17182
EA,36057
ADSK,23778
ASX,49095
INFO,18334
INFY,36410
ITW,46869
ANSS,10639
INTC,165263
INTU,34450
WB,19310
AAPL,815383
DCM,86242
CDNS,10322
OMC,17918
XLNX,15244
AMAT,46338
SWKS,18780
CRM,64646
SNPS,11537
CTXS,11290
ANET,12406
QCOM,77154
MCHP,19002
FISV,25485
UMC,27956
ETN,31901
CA,13640
VMW,10382
DVMT,51260
MU,32880
TWTR,11632
GOOG,316778
PANW,11988
TXN,79351
HPQ,31377
HPE,28417
STM,14728
CSCO,155201
WDC,24021
ORCL,200835
VRSK,13312
MSFT,557642
LLL,13968
LRCX,25626
NOK,35323
ADP,46517
ADI,28465
SMI,21378
IMOS,14236
WIT,28839
MXIM,12429
MSI,14172
MBLY,14129
WPPGY,129373

