Symbol
AAOI
ABTL
ACIA
ACLS
AL
AMAT
ARRS
AUO
AVGO
BCOR
BGSF
CAMP
CCRN
CRNT
CRUS
CSIQ
CY
DIOD
ENPH
EXTR
FLEX
FNSR
FORM
GIG
GUID
HLIT
ICHR
IPHI
JCOM
KELYA
KFRC
LRCX
MCHP
MOMO
MRVL
MSCC
MTSI
MXL
NOK
NSP
OCLR
ON
QTM
RATE
SNCR
SPIL
SPXC
STX
SYNA
SYNT
TACT
TCX
TRTN
TSEM
TSM
TTMI
UCTT
UMC
URI
ZIXI
